Title,Area,Price,Rooms,Floor,Square-meter,Area-text,Elevator,Air-condition,Refurbished,Furniture
מקווה ישראל 10,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"4,200 ₪",2,5,45," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
נווה צדק ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"30,000 $",לא צוין,קרקע,1000,  תל אביב יפו ,FALSE,TRUE,TRUE,FALSE
יוסף הנשיא 9,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"8,000 ₪",3.5,3,71," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
שבזי ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"10,000 ₪",3.5,2,85," נווה צדק, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
"מזא""ה 48",ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"9,200 ₪",3,3,180," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
אלנבי 136,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"3,300 ₪",1,קרקע,23," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
שדרות בן ציון 4,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"8,500 ₪",3,1,70," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
מנחם שטיין 6,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"10,000 ₪",4,קרקע,100," נווה צדק, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
נווה צדק ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"16,000 ₪",4,קרקע,200,  תל אביב יפו ,TRUE,TRUE,TRUE,FALSE
אלנבי 95,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"7,200 ₪",3,4,90," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
יבנאל 31,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"16,000 ₪",4,2,140," נווה צדק, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
עין יעקב 22,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"6,000 ₪",2.5,1,60," נווה צדק, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
המלך ג'ורג' 2,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"4,000 ₪",2,2,45," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
אידלסון 7,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"8,000 ₪",5.5,קרקע,125," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
פינס 25,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"7,100 ₪",3,1,65," נווה צדק, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
שלוש ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"12,500 ₪",5,2,160," נווה צדק, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
פיארברג 6,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"11,000 ₪",4,קרקע,340," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
יצחק אלחנן ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"12,000 ₪",2,20,63," נווה צדק, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
עין ורד ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"6,000 ₪",2,1,53," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
נס ציונה 5,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"7,000 ₪",2.5,4,55," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
לבונטין ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"12,000 ₪",3,5,80," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
מחנה יוסף 32,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"4,300 ₪",2,קרקע,37," נווה צדק, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
אחווה 28,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"11,200 ₪",2.5,1,80," נווה צדק, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
סמטת שבזי 6,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"2,500 ₪",1,1,14," נווה צדק, תל אביב יפו ",FALSE,FALSE,FALSE,FALSE
אחווה 2,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"20,000 ₪",4,3,150," נווה צדק, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
נס ציונה 5,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"10,000 ₪",3,2,80," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
מקווה ישראל ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"2,650 ₪",1,1,27," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
יהודה הלוי 10,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"12,000 ₪",4,קרקע,110," נווה צדק, תל אביב יפו ",TRUE,TRUE,FALSE,FALSE
לילינבלום ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"5,000 ₪",2,1,50," נווה צדק, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
"לב תל אביב, לב העיר צפון ",ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"3,600 ₪",1,1,34,  תל אביב יפו ,FALSE,TRUE,TRUE,TRUE
החשמונאים 3,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"4,200 ₪",1,4,25," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
בר אילן ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"16,000 ₪",5,3,165," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
אילת 61,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"11,000 ₪",3,28,87," נווה צדק, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
ברנט 22,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"6,000 ₪",4,קרקע,10," נווה צדק, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
יצחק אלחנן 15,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"18,100 ₪",3.5,14,130," נווה צדק, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
יהודה הלוי 20,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,850 ₪,לא צוין,קרקע,10," נווה צדק, תל אביב יפו ",FALSE,FALSE,FALSE,FALSE
נווה צדק ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"27,000 ₪",5.5,2,260,  תל אביב יפו ,TRUE,TRUE,TRUE,FALSE
שיינקין ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"20,000 ₪",5,6,150," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
יבנה ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"10,500 ₪",3,4,75," לב תל אביב, לב העיר צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
שבזי 8,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"5,800 ₪",2,קרקע,55," נווה צדק, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
אילת 61,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"10,500 ₪",3,26,90," נווה צדק, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
פינס ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"9,500 ₪",3,3,80," נווה צדק, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
שדרות רוטשילד 84,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"10,000 ₪",2,קרקע,52," לב תל אביב, לב העיר צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
שביל האטד ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-lev-tlv,"3,800 ₪",2,קרקע,38," נווה צדק, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
גאולה 5,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,לא צוין מחיר,2,קרקע,40," כרם התימנים, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
הכובשים ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"5,000 ₪",2,3,40," כרם התימנים, תל אביב יפו ",TRUE,FALSE,FALSE,FALSE
אלשיך ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"2,850 ₪",1,קרקע,20," כרם התימנים, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
גאולה ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,לא צוין מחיר,2,6,60," כרם התימנים, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
כרמלית ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"12,000 ₪",4,3,110," כרם התימנים, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
יונה הנביא ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"7,500 ₪",4,קרקע,100," כרם התימנים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
בית יוסף ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"13,000 ₪",4,1,100," כרם התימנים, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
רציף הרברט סמואל 46,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"10,000 ₪",3,4,100," כרם התימנים, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
בית יוסף 23,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"5,200 ₪",2.5,קרקע,70," כרם התימנים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
יונה הנביא ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"3,550 ₪",1.5,2,27," כרם התימנים, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
יונה הנביא ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"2,900 ₪",1,-1,35," כרם התימנים, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
הכובשים ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"8,250 ₪",4,4,100," כרם התימנים, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
רציף הרברט סמואל 46,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"10,000 ₪",3,4,100," כרם התימנים, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
גאולה 39,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"3,490 ₪",1,קרקע,18," כרם התימנים, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
רציף הרברט סמואל ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"22,000 ₪",2,20,94," כרם התימנים, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
אלנבי 20,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"5,500 ₪",2,4,42," כרם התימנים, תל אביב יפו ",TRUE,TRUE,FALSE,TRUE
אלנבי 38,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"9,900 ₪",4,1,100," כרם התימנים, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
"מל""ן 3",ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"3,650 ₪",1,קרקע,30," כרם התימנים, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
יונה הנביא ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"7,900 ₪",4,2,85," כרם התימנים, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
גדרה 13,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,700 ₪,לא צוין,קרקע,10," כרם התימנים, תל אביב יפו ",FALSE,FALSE,FALSE,FALSE
הכובשים 45,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"6,000 ₪",3,2,60," כרם התימנים, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
אלישיב 26,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"3,200 ₪",1,קרקע,20," כרם התימנים, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
ישכון 17,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"3,000 ₪",1,קרקע,25," כרם התימנים, תל אביב יפו ",TRUE,TRUE,FALSE,TRUE
גאולה ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"7,500 ₪",3,3,80," כרם התימנים, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
עזרא הסופר 11,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"14,000 ₪",4,4,115," כרם התימנים, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
גדרה ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"17,000 ₪",4,קרקע,180," כרם התימנים, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
"תרמ""ב 25",ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"3,650 ₪",1,1,24," כרם התימנים, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
אלשיך ,ers\sara levi\PycharmProjects\apartments-analysis\data\center-kerem,"3,250 ₪",1,1,26," כרם התימנים, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
