Title,Area,Price,Rooms,Floor,Square-meter,Area-text,Elevator,Air-condition,Refurbished,Furniture
דרך קיבוץ גלויות 79,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,000 ₪",1,3,30," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
מטלון 75,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,000 ₪",1.5,4,45," נווה שאנן, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
כוכבי יצחק 5,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"6,200 ₪",4,4,80," שפירא, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
יסוד המעלה 31,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,400 ₪",2,1,50," נווה שאנן, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
חפר ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,000 ₪",1,1,24," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
לוינסקי 61,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,000 ₪",2,3,50," נווה שאנן, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
הונא 34,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,000 ₪",1,קרקע,20," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
לבנדה ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"1,500 ₪",1,2,30," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
עבאס 33,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"2,900 ₪",2,2,35," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",FALSE,FALSE,TRUE,TRUE
בר יוחאי 47,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,600 ₪",2,קרקע,30," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
ידעיה הפניני 26,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"2,900 ₪",1,1,27," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
מקור חיים 24,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,000 ₪",1,3,23," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
כרם חמד 6,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,000 ₪",4,2,75," שפירא, תל אביב יפו ",FALSE,TRUE,FALSE,TRUE
יסוד המעלה 35,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"5,900 ₪",4,קרקע,130," נווה שאנן, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
ורדיאל 9,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"3,500 ₪",2,1,42," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
חזקיהו המלך ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"7,900 ₪",4,1,100," שפירא, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
אייגר ,ers\sara levi\PycharmProjects\apartments-analysis\data\south,"4,200 ₪",2,1,50," נווה שאנן, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
בארי 36,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,500 ₪",3,6,104," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
אבן גבירול 137,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,500 ₪",3,3,70," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
בזל 27,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,700 ₪",3,3,60," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
פנקס 53,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,000 ₪",2.5,3,65," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
מרים החשמונאית 4,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"9,500 ₪",4,3,100," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
שדרות בן גוריון ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"3,500 ₪",1,קרקע,30," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
דיזנגוף 280,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"4,800 ₪",2,קרקע,40," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
ברנדייס ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"9,500 ₪",2,3,95," הצפון החדש - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
קצנלסון ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,250 ₪",3,2,80," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
אנטיגונוס ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"9,000 ₪",3,2,90," הצפון החדש - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
גרץ ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"9,500 ₪",4,3,100," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,TRUE
לסר אורי ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"9,500 ₪",3,12,100," הצפון החדש - דרום, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
ארלוזורוב ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"5,500 ₪",3,1,75," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
מנדלשטם ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"29,000 ₪",5,3,165," הצפון הישן - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
יהודה המכבי 37,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,000 ₪",2,1,50," הצפון החדש - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
וייצמן ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"6,500 ₪",2.5,1,70," הצפון החדש - צפון, תל אביב יפו ",TRUE,TRUE,TRUE,FALSE
עמוס 4,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"7,000 ₪",2,3,68," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
נמל תל אביב ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"4,500 ₪",2,קרקע,45," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,TRUE,FALSE
שדרות נורדאו 25,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"3,200 ₪",1,קרקע,25," הצפון הישן - צפון, תל אביב יפו ",FALSE,TRUE,FALSE,FALSE
בצלאל ,ers\sara levi\PycharmProjects\apartments-analysis\data\north,"2,500 ₪",1,קרקע,14," הצפון החדש - דרום, תל אביב יפו ",FALSE,TRUE,TRUE,TRUE
