Title,Area,Price,Rooms,Floor,Square-meter,Area-text,Elevator,Air-condition,Refurbished,Furniture,lon,lat
דרך מנחם בגין 12,south,"2,400 ₪",1,2,36," נווה שאנן, תל אביב יפו ",False,True,True,False,35.009805,31.876965
בר יוחאי 47,south,"3,500 ₪",1,קרקע,31," שפירא, תל אביב יפו ",False,True,False,True,34.776472,32.052541
י.ל. פרץ 40,south,"6,500 ₪",3.5,5,84," נווה שאנן, תל אביב יפו ",True,True,True,True,34.776687,32.058611
שפירא ,south,"8,000 ₪",3,קרקע,140,  תל אביב יפו ,False,True,True,False,34.7766626,32.0509463
חזקיהו המלך 19,south,"4,700 ₪",3,2,50," שפירא, תל אביב יפו ",False,True,True,False,35.2120173,31.7621642
הגדוד העברי 31,south,"2,750 ₪",1,2,20," נווה שאנן, תל אביב יפו ",False,True,True,True,34.778279,32.059018
מסילת ישרים ,south,"4,700 ₪",2.5,קרקע,85," שפירא, תל אביב יפו ",False,True,False,False,35.2149396,31.7819444
שפירא ,south,"10,000 ₪",5,קרקע,170,  תל אביב יפו ,False,True,True,False,34.7766626,32.0509463
קמואל 54,south,"2,300 ₪",1,קרקע,20," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,True,34.791122,32.048918
הקונגרס ,south,"7,200 ₪",3.5,3,80," נווה שאנן, תל אביב יפו ",True,True,True,False,34.7746302,32.0567724
הרב יצחק ידידיה פרנקל 69,south,"4,100 ₪",2,3,35," נווה שאנן, תל אביב יפו ",True,True,True,False,34.773819,32.056601
הונא ,south,"3,000 ₪",1,קרקע,20," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,True,34.7922094,32.0513152
סמטת עובד 30,south,"3,800 ₪",3,קרקע,70," שפירא, תל אביב יפו ",False,True,True,True,34.7759258,32.0543217
ישראל מסלנט ,south,"6,800 ₪",4,קרקע,100," שפירא, תל אביב יפו ",False,True,True,False,34.7814661,32.0506968
נווה שאנן ,south,"10,500 ₪",3,5,97," נווה שאנן, תל אביב יפו ",True,True,True,False,35.0189029,32.7873956
ישראל מסלנט ,south,"4,700 ₪",3,3,70," שפירא, תל אביב יפו ",False,False,False,False,34.7814661,32.0506968
לוינסקי 61,south,"5,000 ₪",2,3,50," נווה שאנן, תל אביב יפו ",True,True,True,True,34.773853,32.059459
"ראב""ד 31",south,"5,000 ₪",2.5,קרקע,70," נווה שאנן, תל אביב יפו ",False,True,False,True,34.781142,32.054163
בעל העקידה ,south,"4,400 ₪",2.5,-1,46," שפירא, תל אביב יפו ",True,True,True,False,34.7785742,32.0524563
מבשר 53,south,"3,600 ₪",2,3,40," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,True,34.79038,32.050967
ישראל מסלנט 30,south,"7,000 ₪",4,1,90," שפירא, תל אביב יפו ",False,True,True,False,34.781703,32.050783
שיבת ציון 20,south,"3,900 ₪",2.5,3,63," נווה שאנן, תל אביב יפו ",False,True,False,False,34.776715,32.055105
מאור הגולה 37,south,"3,000 ₪",1,קרקע,28," שפירא, תל אביב יפו ",False,True,True,False,34.776639,32.049831
קמואל ,south,"3,500 ₪",2,1,35," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,False,34.7914337,32.0504461
י.ל. פרץ ,south,"6,000 ₪",4,2,95," נווה שאנן, תל אביב יפו ",False,True,True,False,34.853651,32.193343
שלמון 28,south,"3,000 ₪",1,1,30," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,True,34.791745,32.052737
גבעת בן יהודה 10,south,לא צוין מחיר,7,קרקע,300," שפירא, תל אביב יפו ",False,True,True,False,34.779395,32.050864
"ראב""ד ",south,"3,000 ₪",1,קרקע,30," שפירא, תל אביב יפו ",False,True,False,False,43.307004,16.15258
לבנדה ,south,"1,500 ₪",1,2,30," שפירא, תל אביב יפו ",False,True,True,True,34.7825112,32.0553178
י.ל. פרץ ,south,"5,600 ₪",3,3,60," נווה שאנן, תל אביב יפו ",True,True,True,False,34.853651,32.193343
אחימעץ 4,south,לא צוין מחיר,4,1,100," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,True,False,34.794953,32.048293
מסילת העולים 11,south,"2,800 ₪",1,קרקע,30," נווה שאנן, תל אביב יפו ",False,True,True,True,34.7651879,32.0016737
לבנדה ,south,"1,500 ₪",1,2,30," שפירא, תל אביב יפו ",False,True,True,True,34.7825112,32.0553178
העלייה 33,south,"3,700 ₪",2,1,60," נווה שאנן, תל אביב יפו ",False,True,True,False,34.773311,32.057614
ישראל מסלנט 45,south,"3,100 ₪",2,1,36," שפירא, תל אביב יפו ",True,True,False,False,34.781639,32.052393
דרך קיבוץ גלויות 79,south,"3,000 ₪",1,3,30," שפירא, תל אביב יפו ",False,True,True,True,34.785068,32.046798
נתן הנביא ,south,"1,500 ₪",1,קרקע,30," התקוה, בית יעקב, נווה צה""ל, תל אביב יפו ",False,True,False,False,35.2255227,31.7824108
כרם חמד 6,south,"5,000 ₪",4,2,75," שפירא, תל אביב יפו ",False,True,False,True,34.782763,32.049443
ידעיה הפניני ,south,"22,000 ₪",7,קרקע,190," שפירא, תל אביב יפו ",False,True,True,False,34.7753879,32.0521109
לבנדה 32,south,980 ₪,1,קרקע,20," נווה שאנן, תל אביב יפו ",False,False,False,True,34.783049,32.056658
לוינסקי 63,south,"4,000 ₪",1,קרקע,20," נווה שאנן, תל אביב יפו ",False,True,True,True,34.774126,32.059352
ראש פינה 24,south,"5,400 ₪",3,1,71," נווה שאנן, תל אביב יפו ",True,True,False,True,34.782354,32.058523
בעל העקידה ,south,"14,000 ₪",6,קרקע,330," שפירא, תל אביב יפו ",False,True,True,False,34.7785742,32.0524563
שדרות סמאטס 24,north,"5,300 ₪",2,3,60," הצפון החדש - צפון, תל אביב יפו ",False,True,True,False,34.789773,32.09335
בלוך 1,north,"10,000 ₪",4.5,2,120," הצפון החדש - דרום, תל אביב יפו ",False,True,True,True,34.8120064,32.0764358
וורמייזה ,north,"12,000 ₪",3,5,102," הצפון הישן - צפון, תל אביב יפו ",True,True,True,False,34.779281,32.0875902
יוחנן הורקנוס ,north,"5,800 ₪",2,1,65," הצפון הישן - צפון, תל אביב יפו ",False,True,False,True,34.7935893,31.2651167
שלומציון המלכה ,north,"6,400 ₪",3,3,60," הצפון החדש - צפון, תל אביב יפו ",True,True,True,False,35.2219742,31.7796838
ארלוזורוב 75,north,"7,200 ₪",3,2,75," הצפון הישן - צפון, תל אביב יפו ",False,True,True,False,34.7901807,32.0834214
דיזנגוף 190,north,"5,500 ₪",2,2,40," הצפון הישן - צפון, תל אביב יפו ",True,True,True,True,34.774791,32.085701
אנטיגונוס ,north,"5,800 ₪",2,1,65," הצפון החדש - צפון, תל אביב יפו ",True,True,True,False,35.2094123,31.7577847
קצנלסון ,north,"7,250 ₪",3,2,80," הצפון החדש - דרום, תל אביב יפו ",False,True,False,False,34.766087,32.0083967
יהודה המכבי 13,north,"4,800 ₪",2,2,50," הצפון החדש - צפון, תל אביב יפו ",False,False,False,False,35.2095204,31.7896467
יהודה המכבי 63,north,"4,500 ₪",1,1,20," הצפון החדש - צפון, תל אביב יפו ",False,True,True,True,34.791405,32.093987
נהרדעא ,north,"7,400 ₪",3,2,70," הצפון החדש - דרום, תל אביב יפו ",True,True,True,False,34.7872771,32.082557
לסר אורי 8,north,"10,500 ₪",4,10,115," הצפון החדש - דרום, תל אביב יפו ",True,True,True,False,34.785872,32.081172
מרים החשמונאית ,north,"8,300 ₪",3,2,82," הצפון החדש - צפון, תל אביב יפו ",False,True,False,True,35.2243749,31.7608923
צייטלין 27,north,"5,200 ₪",2,קרקע,40," הצפון החדש - דרום, תל אביב יפו ",False,True,True,True,34.785005,32.079336
הילדסהיימר ,north,"28,000 ₪",6,קרקע,250," הצפון החדש - צפון, תל אביב יפו ",False,True,True,True,35.2190448,31.7648589
הירקון 258,north,"7,200 ₪",3.5,3,85," הצפון הישן - צפון, תל אביב יפו ",False,True,True,False,34.773758,32.093362
גרץ ,north,"9,500 ₪",4,3,100," הצפון הישן - צפון, תל אביב יפו ",True,True,True,True,34.8646273,31.9344243
שדרות היוצר 9,north,"6,800 ₪",2.5,3,62," הצפון הישן - צפון, תל אביב יפו ",False,True,True,True,34.77942,32.089291
נמל תל אביב ,north,"4,500 ₪",2,קרקע,45," הצפון הישן - צפון, תל אביב יפו ",False,True,True,False,34.7751960801384,32.09886
מרים החשמונאית 4,north,"9,500 ₪",4,3,100," הצפון החדש - צפון, תל אביב יפו ",False,True,True,False,35.2233769,31.7609572
שדרות שאול המלך 1,north,"43,000 ₪",2,7,220," הצפון החדש - דרום, תל אביב יפו ",True,True,False,False,,
יהודה המכבי 32,north,"5,700 ₪",2.5,1,64," הצפון החדש - צפון, תל אביב יפו ",False,True,False,False,34.789756,32.093673
"מהר""ל ",north,"9,500 ₪",3.5,1,115," הצפון הישן - צפון, תל אביב יפו ",False,True,False,False,34.919536,32.4433546
אבן גבירול ,north,"6,500 ₪",2,2,60," הצפון הישן - צפון, תל אביב יפו ",False,True,True,False,34.773398,31.8958781
שטריקר 36,north,"2,900 ₪",1,קרקע,30," הצפון החדש - צפון, תל אביב יפו ",False,True,True,False,34.788104,32.093072
בארי 38,north,"10,500 ₪",4,4,90," הצפון החדש - דרום, תל אביב יפו ",True,True,True,True,34.790224,32.082379
הדסה ,north,"11,000 ₪",4,1,110," הצפון הישן - צפון, תל אביב יפו ",True,True,True,True,57.7541596,23.1273203
באר טוביה ,north,"6,600 ₪",3,1,75," הצפון הישן - צפון, תל אביב יפו ",True,True,False,False,34.7262903,31.7338758
